rep16_frac2,dem16_frac2,dem08_frac2,dem12_frac2,rep08_frac2,rep12_frac2,LessThanHighSchool,AtLeastHighSchoolDiploma,AtLeastBachelorsDegree,MedianEarnings2010dollars,PovertyRatebelowfederalpovertythreshold,Managementprofessionalandrelatedoccupations,Serviceoccupations,Salesandofficeoccupations,Farmingfishingandforestryoccupations,Constructionextractionmaintenanceandrepairoccupations,Productiontransportationandmaterialmovingoccupations,Uninsured,Unemployment
0.779248238,0.220751762,0.257130547,0.239310785,0.742869453,0.760689215,14.2,85.8,16.6,28134.09397,12.45,29.9,14.15,28.05,1.3,12.2,14.35,0.165,0.061
0.76482257,0.23517743,0.402344614,0.329925017,0.597655386,0.670074983,20.6,79.4,9.7,19426.92921,19.95,29.2,20.05,17.55,2.3,14.2,16.65,0.226,0.068
0.663601666,0.336398335,0.384920635,0.386492443,0.615079365,0.613507557,20.6,79.4,14.3,22615.16857,18.65,27.35,15.6,23.75,4.55,8.5,20.3,0.197,0.077
0.369950305,0.630049695,0.634100275,0.647276769,0.365899725,0.352723231,18.4,81.6,16.5,24226.27429,22.4,27.6,18.4,26.05,0.75,8.35,18.85,0.169,0.094
0.830989876,0.169010124,0.260645511,0.231710789,0.739354489,0.768289212,27.3,72.7,9.2,18008.17873,21.05,21.2,20.45,23,0.5,17,17.85,0.25,0.077
0.629949604,0.370050396,0.402058197,0.406444906,0.597941803,0.593555094,22.1,77.9,13.3,19748.30762,20.55,25.5,22.55,20.35,3.25,10.05,18.15,0.217,0.099
0.714941717,0.285058283,0.381347411,0.355971003,0.618652589,0.644028997,23.6,76.4,14.8,21456.1927,19.75,19.55,12.95,23,1.25,13.35,29.9,0.23,0.068
0.770170493,0.229829507,0.299371399,0.283436795,0.700628601,0.716563205,23.3,76.7,11.7,23916.05429,15.8,27.45,14.55,20.1,1.1,13,23.8,0.203,0.076
0.518902891,0.481097109,0.479370733,0.499684343,0.520629267,0.500315657,31.4,68.6,12.3,20974.93175,22.65,24.2,18.15,23,5.75,6.85,22.15,0.2,0.084
0.554207312,0.445792688,0.488675511,0.494797246,0.511324489,0.505202754,24.4,75.6,11,22554.7073,25.35,23.4,14.75,21.55,2.35,10.35,27.55,0.19,0.1
0.818173951,0.181826049,0.270411436,0.231591974,0.729588564,0.768408026,20.9,79.1,13.8,21347.92381,16.75,27.3,15.2,22.4,1.25,13.65,20.25,0.216,0.072
0.702488218,0.297511782,0.323162373,0.309789167,0.676837627,0.690210833,19,81,17.9,24595.67175,17.5,27.1,15.6,25.55,0.5,7.95,23.3,0.231,0.073
0.753213958,0.246786042,0.292346015,0.249401628,0.707653986,0.750598372,31.2,68.8,9.3,19445.43619,21.25,20.7,12.5,16.55,6.25,12.25,31.75,0.31,0.078
0.806930693,0.193069307,0.295469687,0.252628759,0.704530313,0.747371241,16.2,83.8,14.5,23571.0508,16,25.8,15.5,31.3,0.9,9.9,16.55,0.198,0.071
